,,area,rooms,floor,total_floors,year_built,dist_to_center,price
pearson,area,1.0,0.7900472323106053,0.023450786883618083,0.009457980772912433,0.016284766074685156,-0.9566559791880728,0.9659616310916063
pearson,rooms,0.7900472323106053,1.0,0.01888814961504322,-0.006132955010658014,-0.009814309456094522,-0.7475701155332852,0.7412190036048625
pearson,floor,0.023450786883618083,0.01888814961504322,1.0,0.5258398714345662,0.001868136069964094,-0.01608811238580558,0.027211387736779467
pearson,total_floors,0.009457980772912433,-0.006132955010658014,0.5258398714345662,1.0,-0.007135525086462922,-0.006789304604415466,0.011841472149664058
pearson,year_built,0.016284766074685156,-0.009814309456094522,0.001868136069964094,-0.007135525086462922,1.0,-0.025821510260942027,0.06725542112457243
pearson,dist_to_center,-0.9566559791880728,-0.7475701155332852,-0.01608811238580558,-0.006789304604415466,-0.025821510260942027,1.0,-0.9136806134040456
pearson,price,0.9659616310916063,0.7412190036048625,0.027211387736779467,0.011841472149664058,0.06725542112457243,-0.9136806134040456,1.0
spearman,area,1.0,0.791916776186616,0.024915197274870116,0.010521095655165773,0.01662802185023203,-0.9306557690155555,0.9742167673244567
spearman,rooms,0.791916776186616,1.0,0.019394212736875176,-0.004987328344697284,-0.004897598893467359,-0.7532727305602384,0.7411055135439247
spearman,floor,0.024915197274870116,0.019394212736875176,1.0,0.4903537689392408,0.005837729688710967,-0.012018700824467692,0.02152932610928086
spearman,total_floors,0.010521095655165773,-0.004987328344697284,0.4903537689392408,1.0,-0.007156944266227478,-0.0045564126175718644,0.01262958210226127
spearman,year_built,0.01662802185023203,-0.004897598893467359,0.005837729688710967,-0.007156944266227478,1.0,-0.01950733000155115,0.1275153507543154
spearman,dist_to_center,-0.9306557690155555,-0.7532727305602384,-0.012018700824467692,-0.0045564126175718644,-0.01950733000155115,1.0,-0.935689566506793
spearman,price,0.9742167673244567,0.7411055135439247,0.02152932610928086,0.01262958210226127,0.1275153507543154,-0.935689566506793,1.0
